route_id,route_short_name,corridor_id,
3967_63347,855,855,
3950_62761,55,855,
3959_63369,707,855,
3932_62744,704x,855,
3950_62970,245X,855,
3950_62765,72,16,
3950_62863,355,16,
3950_62761,55,16,
3950_62970,245X,16,
3932_62744,704X,16,
3959_63369,707,16,
3952_40575,397,16,
3952_40573,395,16,
3952_40574,396,16,
3967_63348,896,16,
3967_63345,828,16,
3967_63347,855,16,
3950_62821,245,16,
3953_63238,800,874,
3731_56710,874,874,
3952_40571,393,812,
3967_63345,828,812,
3952_40576,812,812,
3950_62758,40,1,
3950_62753,14,1,
3586_36460,300,1,
3961_63307,283,1,
3950_62823,257,1,
3950_62813,233,1,
3031_37707,231,1,
3950_62752,13,3,
3950_62753,14,3,
3586_36460,300,3,
3950_62844,320,3,
3174_36931,593,3,
3950_62761,55,5,
3173_37710,309,5,
3950_62858,347,5,
3967_63347,855,5,
3953_63239,817C,5,
3173_37710,309,5,
3967_63347,855,5,
3950_62821,245,5,
3950_62818,240,6,
3950_62826,260,6,
3950_62865,362,6,
3502_51295,600,6,
3950_62758,40,6,
3968_63358,367,6,
3968_63355,361,6,
3950_62779,133B,11,
3950_62779,133X,11,
3950_62970,245X,7,
3932_62744,704X,7,Wexford - Wicklow - Dublin
3959_63369,707,7,Wexford - Wicklow - Dublin
3950_62821,245,7,
3955_63244,245C,7,
3967_63347,855,7,
3967_63345,828,7,
3952_40571,393,7,
3952_40576,812,7,
3952_40574,396,7,
3967_63348,896,7,
3964_63334,858,7,
3048_36875,831,7,
3048_36876,832,7,
3964_63331,834,7,
3502_36463,726,7,
3502_36465,816,7,
3953_63237,183,7,
3960_63312,880,7,
3953_63240,885,7,
3950_62759,51,7,
3950_62897,434,7,
3950_62842,313,8,
3950_62844,320,8,
3950_62884,404,8,
3950_62861,350,8,
3950_62855,343,8,
3950_62967,343X,8,
3950_62754,22A,22,
3950_62754,22B,22,
3955_63247,522,8,
3950_62820,243,8,Galway - Claremorris
3950_62779,133,11,Galway - Claremorris
3950_62816,237B,230,
3950_62818,240A,6,
3950_62750,2,11,
3799_59362,740,11,Cork - Skibbereen
3799_59366,740A,11,Cork - Dungarvan - Waterford
3799_56707,376,11,
3941_63051,84,11,
3941_63063,84X,11,
